Sub-region	colors	Genetic ID	Publication	YBP	year_range	Group ID	Country	Lat.	Long.	Molecular Sex	mtDNA haplogroup	x	y
Africa Northern	#fca082	KHN_074	LazaridisNature2014	0.0	0	Shaigi.WGA	Sudan	15.6	32.5	M	..	11.851142	5.263467
Africa Northern	#fca082	KHN_069	LazaridisNature2014	0.0	0	Shaigi.WGA	Sudan	15.6	32.5	M	..	11.84804	5.244577
Africa Northern	#fca082	KHN_065	LazaridisNature2014	0.0	0	Shaigi.WGA	Sudan	15.6	32.5	M	..	11.862372	5.335795
Africa Northern	#fca082	ALG_LN_204	LazaridisNature2014	0.0	0	Ain_Touta.WGA	Algeria	35.4	5.9	M	..	5.703668	-2.2023563
Africa Northern	#fca082	ALG_LN_203	LazaridisNature2014	0.0	0	Ain_Touta.WGA	Algeria	35.4	5.9	M	..	5.6270294	-2.3227506
Africa Northern	#fca082	ALG_LN_200	LazaridisNature2014	0.0	0	Ain_Touta.WGA	Algeria	35.4	5.9	M	..	12.132113	6.7456098
Africa Northern	#fca082	BBR033	LazaridisNature2014	0.0	0	Berber.WGA	Morocco	33.5	5.1	M	..	11.888664	5.2890406
Africa Northern	#fca082	BBR032	LazaridisNature2014	0.0	0	Berber.WGA	Morocco	33.5	5.1	M	..	11.963391	5.9044595
Africa Northern	#fca082	BBR031	LazaridisNature2014	0.0	0	Berber.WGA	Morocco	33.5	5.1	M	..	11.862509	5.393324
Africa Northern	#fca082	BBR030	LazaridisNature2014	0.0	0	Berber.WGA	Morocco	33.5	5.1	M	..	11.891797	5.676767
Africa Northern	#fca082	HGDP01262	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	M	..	11.966523	5.8932343
Africa Northern	#fca082	HGDP01260.SDG	BergstromScience2020	0.0	0	Ignore_Mozabite.SDG	Algeria	32	3	M	..	11.983485	5.9665704
Africa Northern	#fca082	HGDP01269.SDG	BergstromScience2020	0.0	0	Ignore_Mozabite.SDG	Algeria	32	3	M	..	11.950544	5.844467
Africa Northern	#fca082	HGDP01280	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	F	..	11.949745	5.8283772
Africa Northern	#fca082	HGDP01261	PattersonGenetics2012	0.0	0	Ignore_Mozabite	Algeria	32	3	M	..	12.100515	6.536901
Africa Northern	#fca082	HGDP01258	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	M	..	11.9368	5.7570357
Africa Northern	#fca082	HGDP01259	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	M	..	11.971089	5.9152246
Africa Northern	#fca082	HGDP01259.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	M	..	11.972505	5.930772
Africa Northern	#fca082	HGDP01262.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	M	..	11.967257	5.91368
Africa Northern	#fca082	HGDP01263.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	M	..	11.8757	5.395023
Africa Northern	#fca082	HGDP01264.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	M	..	11.952017	5.8272076
Africa Northern	#fca082	HGDP01265.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	M	..	11.929293	5.8155127
Africa Northern	#fca082	HGDP01266.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	M	..	11.959571	5.8653746
Africa Northern	#fca082	HGDP01267.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	U	..	11.958854	5.857543
Africa Northern	#fca082	HGDP01258.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	M	..	11.945444	5.811952
Africa Northern	#fca082	HGDP01268.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	M	..	11.960002	5.8634276
Africa Northern	#fca082	HGDP01274.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	F	..	12.010184	6.0771594
Africa Northern	#fca082	HGDP01275.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	F	..	11.95216	5.8312497
Africa Northern	#fca082	HGDP01276.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	F	..	11.976937	5.946325
Africa Northern	#fca082	HGDP01277.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	F	..	11.960353	5.8634095
Africa Northern	#fca082	HGDP01279.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	M	..	11.961269	5.8415036
Africa Northern	#fca082	HGDP01280.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	F	..	11.959278	5.857068
Africa Northern	#fca082	HGDP01282.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	M	..	11.939004	5.783513
Africa Northern	#fca082	HGDP01272.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	M	..	11.94992	5.815377
Africa Northern	#fca082	HGDP01257.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	M	..	12.01208	6.068539
Africa Northern	#fca082	HGDP01256.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	M	..	12.005219	5.877665
Africa Northern	#fca082	HGDP01255.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	M	..	11.911927	5.727625
Africa Northern	#fca082	Egypt9	LazaridisNature2014	0.0	0	Egyptian	Egypt	30.173625	31.234131	M	..	11.840398	5.219951
Africa Northern	#fca082	HGDP01257	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	M	..	12.005676	6.0443134
Africa Northern	#fca082	HGDP01256	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	M	..	11.965701	5.8866653
Africa Northern	#fca082	HGDP01255	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	M	..	11.917288	5.699744
Africa Northern	#fca082	HGDP01254	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	F	..	11.949519	5.819713
Africa Northern	#fca082	HGDP01253	PattersonGenetics2012	0.0	0	Mozabite	Algeria	32	3	M	..	11.956126	5.8485756
Africa Northern	#fca082	TAF010_noUDG	vandeLoosdrechtScience2018	-14721.0	-10000	Morocco_Iberomaurusian	Morocco	34.807812	-2.410889	M	U6a7b	12.13348	6.7415686
Africa Northern	#fca082	TAF011_noUDG	vandeLoosdrechtScience2018	-14522.0	-10000	Morocco_Iberomaurusian	Morocco	34.807812	-2.410889	M	U6a7	12.134881	6.740664
Africa Northern	#fca082	TAF013_noUDG	vandeLoosdrechtScience2018	-14572.0	-10000	Morocco_Iberomaurusian	Morocco	34.807812	-2.410889	M	U6a7b	12.127677	6.7149
Africa Northern	#fca082	TAF014_noUDG	vandeLoosdrechtScience2018	-14572.0	-10000	Morocco_Iberomaurusian	Morocco	34.807812	-2.410889	M	M1b	12.126176	6.7043624
Africa Northern	#fca082	HGDP01261.SDG	BergstromScience2020	0.0	0	Mozabite_oSubSaharan.SDG	Algeria	32	3	M	..	12.10032	6.5444613
Africa Northern	#fca082	HGDP01270.SDG	BergstromScience2020	0.0	0	Mozabite_oSubSaharan.SDG	Algeria	32	3	F	..	13.081145	10.1157055
Africa Northern	#fca082	HGDP01271.SDG	BergstromScience2020	0.0	0	Mozabite_oSubSaharan.SDG	Algeria	32	3	M	..	12.854821	9.486649
Africa Northern	#fca082	S_Mozabite-1.DG	MallickNature2016 (shotgun data with SNP array data first published in LiScience2008 and JakobssonNature2008)	0.0	0	Mozabite.DG	Algeria	32	3	M	..	11.9503565	5.829812
Africa Northern	#fca082	S_Mozabite-2.DG	MallickNature2016 (shotgun data with SNP array data first published in LiScience2008 and JakobssonNature2008)	0.0	0	Mozabite.DG	Algeria	32	3	F	..	12.0094	6.077697
Africa Northern	#fca082	HGDP01253.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	M	..	11.954155	5.833872
Africa Northern	#fca082	HGDP01254.SDG	BergstromScience2020	0.0	0	Mozabite.SDG	Algeria	32	3	F	..	11.918737	5.7843943
Africa Northern	#fca082	HGDP01260	PattersonGenetics2012	0.0	0	Ignore_Mozabite	Algeria	32	3	M	..	11.989792	5.962261
Africa Northern	#fca082	Egypt10	LazaridisNature2014	0.0	0	Egyptian	Egypt	30.173625	31.234131	M	..	11.84146	5.235319
Africa Northern	#fca082	Egypt12	LazaridisNature2014	0.0	0	Egyptian	Egypt	30.173625	31.234131	M	..	11.865056	5.3588786
Africa Northern	#fca082	Egypt11	LazaridisNature2014	0.0	0	Egyptian	Egypt	30.173625	31.234131	M	..	11.882198	5.4122314
Africa Northern	#fca082	Tunisian20B4	LazaridisNature2014	0.0	0	Tunisian	Tunisia	36.82	10.17	M	..	11.885907	5.538166
Africa Northern	#fca082	Tunisian20D1	LazaridisNature2014	0.0	0	Tunisian	Tunisia	36.82	10.17	F	..	11.964175	5.8848023
Africa Northern	#fca082	TunisianJew1511	LazaridisNature2014	0.0	0	Jew_Tunisian	Tunisia	36.8	10.18333333	F	..	11.157067	-2.337401
Africa Northern	#fca082	LibyanJew1605	LazaridisNature2014	0.0	0	Jew_Libyan	Libya	32.91666667	13.18333333	M	..	11.06869	-2.3301063
Africa Northern	#fca082	Egypt9AQ172	LazaridisNature2014	0.0	0	Egyptian	Egypt	31.04	31.38	M	..	11.851426	5.2792983
Africa Northern	#fca082	Algerian43A23	LazaridisNature2014	0.0	0	Algerian	Algeria	36.75	3.04	F	..	11.959337	5.858257
Africa Northern	#fca082	Egypt9AQ177	LazaridisNature2014	0.0	0	Egyptian	Egypt	31.04	31.38	M	..	11.863757	5.3374934
Africa Northern	#fca082	Egypt7AQ172	LazaridisNature2014	0.0	0	Egyptian	Egypt	31.04	31.38	M	..	11.8392515	5.2218666
Africa Northern	#fca082	Egypt12AQ172	LazaridisNature2014	0.0	0	Egyptian	Egypt	31.04	31.38	M	..	11.841571	5.2278986
Africa Northern	#fca082	SAH20	LazaridisNature2014	0.0	0	Ignore_Saharawi	Morocco	27.3	-8.9	M	..	12.02447	6.1455016
Africa Northern	#fca082	LibyanJew1611	LazaridisNature2014	0.0	0	Jew_Libyan	Libya	32.91666667	13.18333333	M	..	11.116597	-2.3454862
Africa Northern	#fca082	Algerian43A32	LazaridisNature2014	0.0	0	Algerian	Algeria	36.75	3.04	F	..	11.959199	5.8871512
Africa Northern	#fca082	SAH9	LazaridisNature2014	0.0	0	Saharawi	Morocco	27.3	-8.9	F	..	11.959988	5.9588985
Africa Northern	#fca082	TunisianJew1531	LazaridisNature2014	0.0	0	Jew_Tunisian	Tunisia	36.8	10.18333333	F	..	11.118868	-2.5029414
Africa Northern	#fca082	TunisianJew1170	LazaridisNature2014	0.0	0	Jew_Tunisian	Tunisia	36.8	10.18333333	M	..	11.131931	-2.4720974
Africa Northern	#fca082	Egypt8AT113	LazaridisNature2014	0.0	0	Egyptian	Egypt	31.04	31.38	M	..	11.872666	5.3746743
Africa Northern	#fca082	MoroccanJew4692	LazaridisNature2014	0.0	0	Jew_Moroccan	Morocco	34.02	-6.84	F	..	11.17027	-2.5212662
Africa Northern	#fca082	Tunisian20C4	LazaridisNature2014	0.0	0	Tunisian	Tunisia	36.82	10.17	F	..	11.872979	5.3870587
Africa Northern	#fca082	MoroccanJew4683	LazaridisNature2014	0.0	0	Jew_Moroccan	Morocco	34.02	-6.84	F	..	10.85447	-2.6099145
Africa Northern	#fca082	LibyanJew1659	LazaridisNature2014	0.0	0	Jew_Libyan	Libya	32.91666667	13.18333333	M	..	11.105487	-2.3238282
Africa Northern	#fca082	MCA9	LazaridisNature2016	0.0	0	Moroccan	Morocco	33.53	-7.58	F	..	11.914951	5.670266
Africa Northern	#fca082	MCA14	LazaridisNature2016	0.0	0	Moroccan	Morocco	33.53	-7.58	M	..	11.950342	5.828664
Africa Northern	#fca082	MCA16	LazaridisNature2016	0.0	0	Moroccan	Morocco	33.53	-7.58	M	..	11.959283	5.8560677
Africa Northern	#fca082	MCA19	LazaridisNature2016	0.0	0	Moroccan	Morocco	33.53	-7.58	M	..	12.055191	6.3391395
Africa Northern	#fca082	MCA24	LazaridisNature2016	0.0	0	Moroccan	Morocco	33.53	-7.58	F	..	11.99791	6.0064116
Africa Northern	#fca082	MCA37	LazaridisNature2016	0.0	0	Moroccan	Morocco	33.53	-7.58	M	..	11.954023	5.830527
Africa Northern	#fca082	MCA38	LazaridisNature2016	0.0	0	Moroccan	Morocco	33.53	-7.58	M	..	12.031329	6.222584
Africa Northern	#fca082	LibyanJew1639	LazaridisNature2014	0.0	0	Jew_Libyan	Libya	32.91666667	13.18333333	M	..	11.098798	-2.3454514
Africa Northern	#fca082	MCA39	LazaridisNature2016	0.0	0	Moroccan	Morocco	33.53	-7.58	F	..	12.01049	6.076039
Africa Northern	#fca082	LIB27	LazaridisNature2016	0.0	0	Libyan	Libya	32.88	13.19	M	..	11.869748	5.375188
Africa Northern	#fca082	LIB18	LazaridisNature2016	0.0	0	Libyan	Libya	32.88	13.19	M	..	11.864223	5.3699627
Africa Northern	#fca082	LIB13	LazaridisNature2016	0.0	0	Libyan	Libya	32.88	13.19	M	..	11.877132	5.4437003
Africa Northern	#fca082	LIB7	LazaridisNature2016	0.0	0	Libyan	Libya	32.88	13.19	M	..	11.871887	5.385778
Africa Northern	#fca082	BBR034	LazaridisNature2014	0.0	0	Berber.WGA	Morocco	33.5	5.1	M	..	11.859629	5.3330626
Africa Northern	#fca082	gun011_noUDG.SG	RodriguezVarelaCurrentBiology2017	-1209.0	-1000	CanaryIslands_Guanche.SG	Canary Islands	28.268611	-16.605556	M	T2c1d2	11.863617	5.3839946
Africa Northern	#fca082	Egypt22TD21	LazaridisNature2014	0.0	0	Egyptian	Egypt	31.04	31.38	M	..	11.838712	5.229862
Africa Northern	#fca082	LIB30	LazaridisNature2016	0.0	0	Libyan	Libya	32.88	13.19	F	..	11.873	5.403107
Africa Northern	#fca082	Egypt3	LazaridisNature2014	0.0	0	Egyptian	Egypt	30.173625	31.234131	M	..	11.876757	5.455963
Africa Northern	#fca082	SAH18	LazaridisNature2014	0.0	0	Saharawi	Morocco	27.3	-8.9	F	..	11.99076	5.937872
Africa Northern	#fca082	MoroccanJew5168	LazaridisNature2014	0.0	0	Jew_Moroccan	Morocco	34.02	-6.84	M	..	10.927951	-2.4583626
Africa Northern	#fca082	Tunisian20C1	LazaridisNature2014	0.0	0	Tunisian	Tunisia	36.82	10.17	M	..	11.895539	5.5895433
Africa Northern	#fca082	Egypt3AQ172	LazaridisNature2014	0.0	0	Egyptian	Egypt	30.79	31	M	..	11.837355	5.1833267
Africa Northern	#fca082	Algerian43A21	LazaridisNature2014	0.0	0	Algerian	Algeria	36.75	3.04	F	..	11.941861	5.8221354
Africa Northern	#fca082	Egypt15AQ172	LazaridisNature2014	0.0	0	Egyptian	Egypt	31.04	31.38	M	..	11.845053	5.2200627
Africa Northern	#fca082	Egypt20AQ172	LazaridisNature2014	0.0	0	Ignore_Egyptian	Egypt	31.04	31.38	M	..	11.851462	5.2850714
Africa Northern	#fca082	MoroccanJew5134	LazaridisNature2014	0.0	0	Ignore_Jew_Moroccan	Morocco	34.02	-6.84	M	..	11.074455	-2.285164
Africa Northern	#fca082	LibyanJew1601	LazaridisNature2014	0.0	0	Jew_Libyan	Libya	32.91666667	13.18333333	M	..	11.143182	-2.3859076
Africa Northern	#fca082	LibyanJew1104	LazaridisNature2014	0.0	0	Jew_Libyan	Libya	32.91666667	13.18333333	F	..	11.071378	-2.439039
Africa Northern	#fca082	Egypt19AQ172	LazaridisNature2014	0.0	0	Ignore_Egyptian	Egypt	31.04	31.38	M	..	11.837343	5.222518
Africa Northern	#fca082	Egypt8BA65	LazaridisNature2014	0.0	0	Ignore_Egyptian	Egypt	31.2	29.92	M	..	11.988629	6.128504
Africa Northern	#fca082	Algerian43A22	LazaridisNature2014	0.0	0	Algerian	Algeria	36.75	3.04	F	..	11.96727	5.9490824
Africa Northern	#fca082	TunisianJew1421	LazaridisNature2014	0.0	0	Jew_Tunisian	Tunisia	36.8	10.18333333	F	..	10.955879	-2.4047096
Africa Northern	#fca082	Tunisian200000	LazaridisNature2014	0.0	0	Tunisian	Tunisia	36.82	10.17	F	..	11.896409	5.5754566
Africa Northern	#fca082	LibyanJew1438	LazaridisNature2014	0.0	0	Jew_Libyan	Libya	32.91666667	13.18333333	F	..	12.889879	0.7905995
Africa Northern	#fca082	S_Saharawi-1.DG	MallickNature2016	0.0	0	Saharawi.DG	Western Sahara (Morocco)	27.3	-8.9	M	..	11.962417	5.863892
Africa Northern	#fca082	Egypt1	LazaridisNature2014	0.0	0	Egyptian	Egypt	30.173625	31.234131	M	..	11.884104	5.5164785
Africa Northern	#fca082	Egypt17AQ176	LazaridisNature2014	0.0	0	Egyptian	Egypt	31.12	30.96	M	..	11.839303	5.2359366
Africa Northern	#fca082	Algerian43A24	LazaridisNature2014	0.0	0	Algerian	Algeria	36.75	3.04	F	..	11.943737	5.840376
Africa Northern	#fca082	SAH27	LazaridisNature2014	0.0	0	Saharawi	Morocco	27.3	-8.9	F	..	12.002482	6.0523815
Africa Northern	#fca082	MoroccanJew5126	LazaridisNature2014	0.0	0	Jew_Moroccan	Morocco	34.02	-6.84	M	..	10.934594	-2.5292284
Africa Northern	#fca082	Egypt5AQ172	LazaridisNature2014	0.0	0	Egyptian	Egypt	31.04	31.38	M	..	11.836062	5.2291346
Africa Northern	#fca082	MoroccanJew4789	LazaridisNature2014	0.0	0	Jew_Moroccan	Morocco	34.02	-6.84	F	..	11.14224	-2.3898685
Africa Northern	#fca082	Tunisian20A5	LazaridisNature2014	0.0	0	Tunisian	Tunisia	36.82	10.17	F	..	11.957325	5.8629007
Africa Northern	#fca082	SAH34	LazaridisNature2014	0.0	0	Saharawi	Morocco	27.3	-8.9	F	..	12.011465	6.0869346
Africa Northern	#fca082	TunisianJew1544	LazaridisNature2014	0.0	0	Jew_Tunisian	Tunisia	36.8	10.18333333	F	..	11.152324	-2.4257631
Africa Northern	#fca082	Tunisian20D4	LazaridisNature2014	0.0	0	Tunisian	Tunisia	36.82	10.17	F	..	11.922808	5.8473363
Africa Northern	#fca082	TunisianJew1507	LazaridisNature2014	0.0	0	Jew_Tunisian	Tunisia	36.8	10.18333333	M	..	13.029707	0.72467726
Africa Northern	#fca082	Tunisian20F4	LazaridisNature2014	0.0	0	Tunisian	Tunisia	36.82	10.17	M	..	11.906556	5.622975
Africa Northern	#fca082	SAH24	LazaridisNature2014	0.0	0	Saharawi	Morocco	27.3	-8.9	F	..	11.977137	5.9406495
Africa Northern	#fca082	MoroccanJew4634	LazaridisNature2014	0.0	0	Jew_Moroccan	Morocco	34.02	-6.84	M	..	10.965529	-2.4223633
Africa Northern	#fca082	SAH21	LazaridisNature2014	0.0	0	Saharawi	Morocco	27.3	-8.9	F	..	11.979156	5.9472456
Africa Northern	#fca082	TunisianJew1763	LazaridisNature2014	0.0	0	Jew_Tunisian	Tunisia	36.8	10.18333333	M	..	11.095066	-2.3708806
Africa Northern	#fca082	Algerian43A13	LazaridisNature2014	0.0	0	Algerian	Algeria	36.75	3.04	M	..	11.957257	5.855764
Africa Northern	#fca082	Algerian43A34	LazaridisNature2014	0.0	0	Algerian	Algeria	36.75	3.04	M	..	11.891921	5.5278215
Africa Northern	#fca082	Egypt1AQ172	LazaridisNature2014	0.0	0	Egyptian	Egypt	31.04	31.38	M	..	11.828558	5.1889963
Africa Northern	#fca082	LibyanJew1462	LazaridisNature2014	0.0	0	Jew_Libyan	Libya	32.91666667	13.18333333	F	..	11.094782	-2.3765607
Africa Northern	#fca082	LibyanJew1263	LazaridisNature2014	0.0	0	Jew_Libyan	Libya	32.91666667	13.18333333	F	..	11.089976	-2.3220596
Africa Northern	#fca082	S_Saharawi-2.DG	MallickNature2016	0.0	0	Saharawi.DG	Western Sahara (Morocco)	27.3	-8.9	M	..	11.969851	5.900266
Africa Northern	#fca082	MCA7	LazaridisNature2016	0.0	0	Moroccan	Morocco	33.53	-7.58	M	..	11.965134	5.8829055
Africa Sub-Saharan	#e32f27	NA19130.SG	1KGPhase3	0.0	0	YRI.SG	Nigeria	7.396389	3.916667	M	..	13.640784	13.87846
Africa Sub-Saharan	#e32f27	NA19238.SG	1KGPhase3	0.0	0	YRI.SG	Nigeria	7.396389	3.916667	F	..	13.59299	14.212528
Africa Sub-Saharan	#e32f27	HGDP01202	PattersonGenetics2012	0.0	0	Mandenka	Senegal	12	-12	M	..	13.675942	14.162089
Africa Sub-Saharan	#e32f27	HGDP01201	PattersonGenetics2012	0.0	0	Ignore_Mandenka_relative	Senegal	12	-12	F	..	13.651411	14.348173
Africa Sub-Saharan	#e32f27	HGDP01200	PattersonGenetics2012	0.0	0	Mandenka	Senegal	12	-12	M	..	13.426132	14.120836
Africa Sub-Saharan	#e32f27	HGDP01199	PattersonGenetics2012	0.0	0	Mandenka	Senegal	12	-12	M	..	13.668638	13.912008
Africa Sub-Saharan	#e32f27	S_Ju_hoan_North-2.DG	MallickNature2016 (shotgun data with SNP array data first published in LiScience2008 and JakobssonNature2008)	0.0	0	Ju_hoan_North.DG	Namibia	-18.93725689	21.45244764	M	..	7.5858407	11.841476
Africa Sub-Saharan	#e32f27	HGDP01094	PattersonGenetics2012	0.0	0	Biaka	Central African Republic	4	17	M	..	7.6114807	12.827267
Africa Sub-Saharan	#e32f27	HGDP01090	PattersonGenetics2012	0.0	0	Biaka	Central African Republic	4	17	M	..	7.6348596	12.851021
Africa Sub-Saharan	#e32f27	HGDP01086	PattersonGenetics2012	0.0	0	Biaka	Central African Republic	4	17	M	..	7.602492	12.857142
Africa Sub-Saharan	#e32f27	HGDP01081	PattersonGenetics2012	0.0	0	Mbuti	Congo	1	29	M	..	7.3054123	12.244302
Africa Sub-Saharan	#e32f27	S_Ju_hoan_North-1.DG	MallickNature2016 (shotgun data with SNP array data first published in LiScience2008 and JakobssonNature2008)	0.0	0	Ju_hoan_North.DG	Namibia	-18.93725689	21.45244764	M	..	7.6174026	11.824351
Africa Sub-Saharan	#e32f27	S_Ju_hoan_North-3.DG	MallickNature2016 (shotgun data with SNP array data first published in LiScience2008 and JakobssonNature2008)	0.0	0	Ju_hoan_North.DG	Namibia	-18.93725689	21.45244764	M	..	7.586626	11.84391
Africa Sub-Saharan	#e32f27	B_Ju_hoan_North-4.DG	PrueferNature2013	0.0	0	Ju_hoan_North.DG	Namibia	-18.93725689	21.45244764	M	..	7.595187	11.839461
Africa Sub-Saharan	#e32f27	HGDP00987.SDG	BergstromScience2020	0.0	0	Ju_hoan_North.SDG	Namibia	-18.93725689	21.45244764	M	..	7.594024	11.840822
Africa Sub-Saharan	#e32f27	HGDP00991.SDG	BergstromScience2020	0.0	0	Ju_hoan_North.SDG	Namibia	-18.93725689	21.45244764	M	..	7.5956445	11.838693
Africa Sub-Saharan	#e32f27	HGDP00992.SDG	BergstromScience2020	0.0	0	Ju_hoan_North.SDG	Namibia	-18.93725689	21.45244764	M	..	7.5969963	11.83765
Africa Sub-Saharan	#e32f27	HGDP01032.SDG	BergstromScience2020	0.0	0	Ju_hoan_North.SDG	Namibia	-18.93725689	21.45244764	M	..	7.591893	11.844356
Africa Sub-Saharan	#e32f27	HGDP01036.SDG	BergstromScience2020	0.0	0	Ju_hoan_North.SDG	Namibia	-18.93725689	21.45244764	M	..	7.5946965	11.839662
Africa Sub-Saharan	#e32f27	HGDP01036	PattersonGenetics2012	0.0	0	Ju_hoan_North	Namibia	-18.93725689	21.45244764	M	..	7.587166	11.841878
Africa Sub-Saharan	#e32f27	HGDP01035	PattersonGenetics2012	0.0	0	Namibia_Bantu_Herero	Namibia	-22	19	M	..	14.632221	9.615719
